S. No.,Pressure (hPa),Height (m),Temp (K),Temp Gradient,Windshear,Cn^2
1162,247,11123,235.05,-0.01,0,2.00E+01
1,1000,26,302.55,0.014,1.0956,1.40E+01
10,809,1918,298.05,0.005,0.432,1.50E+01
100,185,13070,222.35,-0.009,0,1.90E+01
1000,250,11090,237.45,-0.006,0.108,1.70E+01
1001,231,11625,233.25,-0.008,0.3705,1.80E+01
1002,207,12367,227.45,-0.008,0.1236,1.80E+01
1003,997,40,316.25,-0.011,0.5556,1.70E+01
1004,969,306,313.15,-0.012,0.4011,1.70E+01
1005,942,570,310.15,-0.011,0.1698,1.80E+01
1006,925,738,309.55,-0.004,0.1851,1.60E+01
1007,884,1146,306.45,-0.008,0.108,1.70E+01
1008,850,1499,303.75,-0.008,0.0462,1.80E+01
1009,832,1689,302.45,-0.007,0.2469,1.70E+01
101,154,14237,211.85,-0.009,0.0927,1.90E+01
1010,822,1797,301.75,-0.006,0.1389,1.70E+01
1011,773,2329,296.95,-0.009,0.2007,1.80E+01
1012,723,2909,291.65,-0.009,0.108,1.80E+01
1013,700,3189,289.15,-0.009,0.4476,1.80E+01
1014,689,3321,287.85,-0.01,0.1236,1.90E+01
1015,671,3540,285.65,-0.01,0,2.00E+01
1016,660,3678,284.35,-0.009,0,1.80E+01
1017,630,4064,280.55,-0.01,0.0462,2.00E+01
1018,609,4345,277.75,-0.01,0.0618,2.00E+01
1019,605,4398,277.35,-0.008,0,1.80E+01
102,150,14400,211.05,-0.005,0.0927,1.70E+01
1020,568,4907,273.45,-0.008,0.4476,1.70E+01
1021,559,5035,272.45,-0.008,0.9723,1.60E+01
1022,557,5064,272.25,-0.007,1.5894,1.50E+01
1023,554,5107,272.45,0.005,1.4352,1.40E+01
1024,547,5208,272.85,0.004,0,1.60E+01
1025,544,5252,272.55,-0.007,0,1.70E+01
1026,523,5564,270.75,-0.006,0.3396,1.70E+01
1027,513,5717,269.85,-0.006,0.3087,1.70E+01
1028,500,5920,268.65,-0.006,0.2316,1.70E+01
1029,486,6143,267.65,-0.004,0.2778,1.60E+01
103,149,14441,210.85,-0.005,0,1.80E+01
1030,466,6472,266.25,-0.004,0.4167,1.60E+01
1031,457,6625,265.55,-0.005,0.7098,1.60E+01
1032,453,6694,265.25,-0.004,0,1.70E+01
1033,438,6957,266.05,0.003,0.1236,1.60E+01
1034,435,7010,265.75,-0.006,0,1.70E+01
1035,424,7208,264.55,-0.006,0.1542,1.70E+01
1036,400,7660,261.85,-0.006,0.1389,1.70E+01
1037,397,7716,261.45,-0.007,0.2778,1.70E+01
1038,339,8901,253.95,-0.006,0,1.70E+01
1039,326,9194,252.05,-0.006,0.0462,1.70E+01
